,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_range,time_signature,track_href,type,uri,valence
0,0.111,https://api.spotify.com/v1/audio-analysis/27TQsZpLTkMlFMoSJcKZFc,0.909,194225.0,0.552,27TQsZpLTkMlFMoSJcKZFc,0.652,0.0,0.096,-9.378,1.0,0.0852,104.949,long_term,4.0,https://api.spotify.com/v1/tracks/27TQsZpLTkMlFMoSJcKZFc,audio_features,spotify:track:27TQsZpLTkMlFMoSJcKZFc,0.376
1,0.145,https://api.spotify.com/v1/audio-analysis/4DAaQ5InUO23d8yNRbB0Yj,0.714,206073.0,0.663,4DAaQ5InUO23d8yNRbB0Yj,0.0,8.0,0.264,-5.799,1.0,0.0694,95.497,long_term,4.0,https://api.spotify.com/v1/tracks/4DAaQ5InUO23d8yNRbB0Yj,audio_features,spotify:track:4DAaQ5InUO23d8yNRbB0Yj,0.64
2,0.335,https://api.spotify.com/v1/audio-analysis/02IWO1ST4g8aQDsJI9YKxw,0.714,189600.0,0.436,02IWO1ST4g8aQDsJI9YKxw,0.0266,1.0,0.108,-14.217,1.0,0.0754,99.995,long_term,4.0,https://api.spotify.com/v1/tracks/02IWO1ST4g8aQDsJI9YKxw,audio_features,spotify:track:02IWO1ST4g8aQDsJI9YKxw,0.634
3,0.705,https://api.spotify.com/v1/audio-analysis/54DzzIghO0tYWPaceJnf62,0.872,217987.0,0.37,54DzzIghO0tYWPaceJnf62,0.000318,5.0,0.143,-5.851,1.0,0.119,100.047,long_term,4.0,https://api.spotify.com/v1/tracks/54DzzIghO0tYWPaceJnf62,audio_features,spotify:track:54DzzIghO0tYWPaceJnf62,0.489
4,0.00504,https://api.spotify.com/v1/audio-analysis/3qqEFTIFcZuWJYBtshrxca,0.766,194308.0,0.947,3qqEFTIFcZuWJYBtshrxca,0.0513,3.0,0.282,-6.097,0.0,0.0361,129.973,long_term,4.0,https://api.spotify.com/v1/tracks/3qqEFTIFcZuWJYBtshrxca,audio_features,spotify:track:3qqEFTIFcZuWJYBtshrxca,0.71
5,0.62,https://api.spotify.com/v1/audio-analysis/0pAiyIHt9DyHOjWgF41kp6,0.729,219946.0,0.456,0pAiyIHt9DyHOjWgF41kp6,0.000133,6.0,0.0919,-6.795,0.0,0.0528,110.999,long_term,4.0,https://api.spotify.com/v1/tracks/0pAiyIHt9DyHOjWgF41kp6,audio_features,spotify:track:0pAiyIHt9DyHOjWgF41kp6,0.221
6,0.498,https://api.spotify.com/v1/audio-analysis/2BiPDpIgxZVLuP5K19vOci,0.625,266703.0,0.601,2BiPDpIgxZVLuP5K19vOci,5e-06,8.0,0.117,-5.068,0.0,0.0587,75.071,long_term,4.0,https://api.spotify.com/v1/tracks/2BiPDpIgxZVLuP5K19vOci,audio_features,spotify:track:2BiPDpIgxZVLuP5K19vOci,0.276
7,0.141,https://api.spotify.com/v1/audio-analysis/6s1Msf610dGgFssPHUevdN,0.807,401126.0,0.335,6s1Msf610dGgFssPHUevdN,0.818,1.0,0.0581,-10.661,1.0,0.159,110.005,long_term,4.0,https://api.spotify.com/v1/tracks/6s1Msf610dGgFssPHUevdN,audio_features,spotify:track:6s1Msf610dGgFssPHUevdN,0.384
8,0.345,https://api.spotify.com/v1/audio-analysis/19y7Eh2ORRo6spiEcr4aTU,0.797,201834.0,0.312,19y7Eh2ORRo6spiEcr4aTU,0.0,9.0,0.112,-10.959,1.0,0.0608,120.083,long_term,4.0,https://api.spotify.com/v1/tracks/19y7Eh2ORRo6spiEcr4aTU,audio_features,spotify:track:19y7Eh2ORRo6spiEcr4aTU,0.268
9,0.453,https://api.spotify.com/v1/audio-analysis/6A4w8ZVZRBTE7vSsV76U3w,0.832,182569.0,0.428,6A4w8ZVZRBTE7vSsV76U3w,0.0,0.0,0.283,-6.893,0.0,0.225,114.094,long_term,4.0,https://api.spotify.com/v1/tracks/6A4w8ZVZRBTE7vSsV76U3w,audio_features,spotify:track:6A4w8ZVZRBTE7vSsV76U3w,0.446
