,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_range,time_signature,track_href,type,uri,valence
0,0.151,https://api.spotify.com/v1/audio-analysis/7fH9ZS8gezOtky5bkYHvCN,0.437,265733.0,0.586,7fH9ZS8gezOtky5bkYHvCN,3.13e-06,4.0,0.0996,-6.708,1.0,0.0274,150.14,long_term,4.0,https://api.spotify.com/v1/tracks/7fH9ZS8gezOtky5bkYHvCN,audio_features,spotify:track:7fH9ZS8gezOtky5bkYHvCN,0.252
1,0.316,https://api.spotify.com/v1/audio-analysis/0rufHvzVQmCDpjf3qWLtC3,0.689,245585.0,0.425,0rufHvzVQmCDpjf3qWLtC3,0.0,8.0,0.122,-7.23,1.0,0.314,93.95,long_term,4.0,https://api.spotify.com/v1/tracks/0rufHvzVQmCDpjf3qWLtC3,audio_features,spotify:track:0rufHvzVQmCDpjf3qWLtC3,0.371
2,0.139,https://api.spotify.com/v1/audio-analysis/5WxzuqQCeCsFlUEStzTp3K,0.825,195187.0,0.761,5WxzuqQCeCsFlUEStzTp3K,0.0,1.0,0.157,-6.591,1.0,0.189,88.994,long_term,4.0,https://api.spotify.com/v1/tracks/5WxzuqQCeCsFlUEStzTp3K,audio_features,spotify:track:5WxzuqQCeCsFlUEStzTp3K,0.875
3,0.961,https://api.spotify.com/v1/audio-analysis/3weNRklVDqb4Rr5MhKBR3D,0.191,357707.0,0.0582,3weNRklVDqb4Rr5MhKBR3D,0.89,8.0,0.0941,-25.398,1.0,0.0578,132.614,long_term,1.0,https://api.spotify.com/v1/tracks/3weNRklVDqb4Rr5MhKBR3D,audio_features,spotify:track:3weNRklVDqb4Rr5MhKBR3D,0.0454
4,0.427,https://api.spotify.com/v1/audio-analysis/1gwVDu3zIbLfufg69APtCT,0.741,193605.0,0.556,1gwVDu3zIbLfufg69APtCT,0.0,7.0,0.104,-6.904,0.0,0.113,79.043,long_term,4.0,https://api.spotify.com/v1/tracks/1gwVDu3zIbLfufg69APtCT,audio_features,spotify:track:1gwVDu3zIbLfufg69APtCT,0.71
5,0.291,https://api.spotify.com/v1/audio-analysis/66tkDkPsznE5zIHNt4QkXB,0.863,249957.0,0.533,66tkDkPsznE5zIHNt4QkXB,0.00126,5.0,0.0794,-7.986,0.0,0.0484,102.025,long_term,4.0,https://api.spotify.com/v1/tracks/66tkDkPsznE5zIHNt4QkXB,audio_features,spotify:track:66tkDkPsznE5zIHNt4QkXB,0.738
6,0.0603,https://api.spotify.com/v1/audio-analysis/6UjBPdD3La0j1JTaT7R6fK,0.822,221709.0,0.696,6UjBPdD3La0j1JTaT7R6fK,0.000144,0.0,0.0717,-8.468,1.0,0.0474,117.049,long_term,4.0,https://api.spotify.com/v1/tracks/6UjBPdD3La0j1JTaT7R6fK,audio_features,spotify:track:6UjBPdD3La0j1JTaT7R6fK,0.856
7,0.168,https://api.spotify.com/v1/audio-analysis/3AQLL3Waks6LJ9FI8TFHGA,0.686,243147.0,0.735,3AQLL3Waks6LJ9FI8TFHGA,8.88e-05,8.0,0.44,-7.063,1.0,0.0332,110.577,long_term,4.0,https://api.spotify.com/v1/tracks/3AQLL3Waks6LJ9FI8TFHGA,audio_features,spotify:track:3AQLL3Waks6LJ9FI8TFHGA,0.483
8,0.669,https://api.spotify.com/v1/audio-analysis/51rPRW8NjxZoWPPjnRGzHw,0.704,301893.0,0.487,51rPRW8NjxZoWPPjnRGzHw,8.64e-05,9.0,0.111,-6.407,0.0,0.0604,121.726,long_term,4.0,https://api.spotify.com/v1/tracks/51rPRW8NjxZoWPPjnRGzHw,audio_features,spotify:track:51rPRW8NjxZoWPPjnRGzHw,0.313
9,0.422,https://api.spotify.com/v1/audio-analysis/1NUG3U8WHVJsWfcbqqV1WU,0.735,201027.0,0.45,1NUG3U8WHVJsWfcbqqV1WU,0.0,8.0,0.108,-9.281,1.0,0.0346,125.951,long_term,4.0,https://api.spotify.com/v1/tracks/1NUG3U8WHVJsWfcbqqV1WU,audio_features,spotify:track:1NUG3U8WHVJsWfcbqqV1WU,0.35
10,0.00196,https://api.spotify.com/v1/audio-analysis/1a7T0Ethftlcle1yIZU27G,0.553,241920.0,0.901,1a7T0Ethftlcle1yIZU27G,1.53e-06,1.0,0.162,-4.055,0.0,0.0835,150.162,long_term,4.0,https://api.spotify.com/v1/tracks/1a7T0Ethftlcle1yIZU27G,audio_features,spotify:track:1a7T0Ethftlcle1yIZU27G,0.587
